"Job Title","Salary","Location","Job Posted","Job Description"
"Finance Assistant - VR/21044","£Available Upon Request","Aberdeen","14 hours ago","Temporary vacancy for a Finance Assistant with an oil operator to start in December ideally. This will be for 10 months; it could lead to a permanent position. You will be a member of the Accounts Payable Team reporting to the..."
"Graduate Quantity Surveyor","£25-30k plus benefits","Dunblane","14 hours ago","PFC Careers are working with a family run contractor to recruit a Graduate Quantity Surveyor on a permanent basis. The position will be based in the clients offices just north of Dunblane..."
"Mortgage Advisor","£30,000 with a very realistic OTE of £60,000 plus","Edinburgh","14 hours ago","Mortgage Advisor Edinburgh Basic salary £30,000 with a very realistic OTE of £60,000 plus Are you a Bank Mortgage Advisor looking to break into whole of market advising? Edinburgh's top Mortgage Brokerage is..."
"Mortgage Advisor","£30,000 with a very realistic OTE of £60,000 plus","Edinburgh","14 hours ago","Mortgage Advisor Edinburgh Basic salary £30,000 with a very realistic OTE of £60,000 plus Are you a Bank Mortgage Advisor looking to break into whole of market advising? Edinburgh's top Mortgage Brokerage is..."
"Mortgage Advisor","£30,000 with a very realistic OTE of £60,000 plus","Edinburgh","14 hours ago","Mortgage Advisor Edinburgh Basic salary £30,000 with a very realistic OTE of £60,000 plus Are you a Bank Mortgage Advisor looking to break into whole of market advising? Edinburgh's top Mortgage Brokerage is..."
"Mortgage Advisor","£30,000 with a very realistic OTE of £60,000 plus","Edinburgh","14 hours ago","Mortgage Advisor Edinburgh Basic salary £30,000 with a very realistic OTE of £60,000 plus Are you a Bank Mortgage Advisor looking to break into whole of market advising? Edinburgh's top Mortgage Brokerage is..."
"Mortgage Advisor","£30,000 with a very realistic OTE of £60,000 plus","Edinburgh","14 hours ago","Mortgage Advisor Edinburgh Basic salary £30,000 with a very realistic OTE of £60,000 plus Are you a Bank Mortgage Advisor looking to break into whole of market advising? Edinburgh's top Mortgage Brokerage is..."
"Payroll/Benefits Delivery Specialist (6 Months) - VR/21058","£Available upon request","Aberdeen","14 hours ago","Payroll Specialist required to join an internationally recognised oil service company situated South of Aberdeen. This temporary assignment will last for 6-7 months to fill a backlog of payroll work..."
"Project Control Portfolio Analyst - VR/21054","£Available upon request","Aberdeen","14 hours ago","Based in the city centre of Aberdeen within a modern office complex, Project Control Portfolio Analyst required ASAP on a temporary basis through to November 2020. Experience in a similar role essential, ideally from an upstream..."
"Quantity Surveyor","£38-45k + benefits","Perth","14 hours ago","PFC Careers are thrilled to be working with a family run, forward thinking contractor to recruit a permanent Quantity Surveyor /Estimator to manage all pricing works relating to both a bespoke housing and civil engineering..."
"Senior Accountant - VR/21035","£Available Upon Request","Aberdeen","14 hours ago","Work for one of the worlds leading offshore engineering organisations. Joining the Group Reporting team, The Senior Accountant will lead and prepare the consolidation of financial results for the Group..."
"Tax & Compliance Accountant","£41000 - £49,500","Edinburgh","3 December","Redmill Consulting's prestigious client is currently looking for a Tax & Compliance Accountant for a permanent position. This role will ideally suit a skilled Accountant with a strong knowledge of VAT & tax..."
"Mechanical Design Engineer","£28k - 35k per year + Amazing Pension","Glasgow","3 December","Mechanical Engineer - Building Services Design (HVAC) Work with a global leader in Engineering, in a team where there are opportunities for real career progression, who don't just work in the concept but deliver..."
"Quantity Surveyor","£30000.00 - £45000.00 per annum","Aberdeen","3 December","Quantity Surveyor Your new company Is a local main contractor who are based on the outskirts of the city centre. They are a recognised market leader and a key contributor to the Construction Sector in the North East of..."
"Senior Commercial Manager","£Excellent","Glasgow","3 December","This is a rare, senior opportunity to join a leading independent UK based construction business located in central Glasgow. Reporting into the Head of Finance the successful appointee will assume accountability for the following..."
"12 Month Placement","£15.6k per year + Monthly Bonus","Edinburgh","3 December","HAYS 12 Month Placement Recruitment Consultant Have you considered a placement as a recruiting expert at Hays? Applications are being accepted for Interns to commence in 2020, for your 3rd year placement option on your..."
"Divisional Construction Manager","£Excellent","Edinburgh","3 December","A rare senior appointment has presented to the market within an established, yet prestigious service provider located in Edinburgh. The role of Divisional Construction Manager will feed directly to the board and involve the full..."
"Receptionist/PA","Up to £26,000 negotiable","Glasgow","3 December","Our client is at the forefront of what they do, working on projects from CGI, VR, AR all the way to mobile apps. This is the opportunity to join a flexible and forward-thinking business and get ahead of the game..."
"Executive Assistant","Up to £26,000 negotiable","Glasgow","3 December","Our client is at the forefront of what they do, working on projects from CGI, VR, AR all the way to mobile apps. This is the opportunity to join a flexible and forward-thinking business and get ahead of the game..."
"Junior DevOps Engineer - .NET - Perm - Edinburgh - To 35k pl","35000 Per Annum Pension etc","Edinburgh","3 December","Junior DevOps Engineer - .NET - Perm - Edinburgh - To 35k plus package If you have some .NET experience and are looking for something a bit different, you've maybe tried development and like some aspects but want something..."
"Technical Test Analyst","","Edinburgh","3 December","Contract Technical Test Analyst - ETL SQL Edinburgh 3 months with extension plans Outside IR35 Circa 350 day rate Responsibilities: - Confidence in reviewing technical requirements with..."
"Digital Marketing and Communications Executive","£40000.00 - £45000.00 per annum","Glasgow","3 December","Digital Marketing and Communications Executive Glasgow Interim contract £40,000 - £45,000 Badenoch + Clark is working with an organisation which demonstrates strong values and purpose as they seek a Digital..."
"Floating Secretary","To define","Edinburgh","3 December","Company description: Morgan Philips Group is an innovative recruitment business with a footprint across 4 continents. In just 5 years, we have built a global platform that disrupts conventional thinking in executive and..."
"Senior Accountant","£45000 - £48000 per annum + plus bonus and additional benefits","Aberdeen","3 December","Our hugely dynamic client are looking for a Senior Accountant to join their finance team to support the Finance Manager on a daily basis. This is a highly developmental opportunity where the successful appointee will be motivated..."
"Programme Manager","£55000 - £60000 per annum + 36 days holiday, 20%+ pension","Glasgow","3 December","FPSG are working with a well-known public sector client with a technology hub in Glasgow city centre who are looking add an experienced Programme Manager to the team. The Programme Manager will have to end responsibility for the..."
"Web Developer","","Glasgow","3 December","An exciting opportunity has come to the Glasgow market for a Temporary Web Developer looking for an interim opportunity to start on 6th January 2020. Key Duties & Responsibilities; Based in our clients Digital Factory..."
"Web Programmer","","Glasgow","3 December","An exciting opportunity has come to the Glasgow market for a Temporary Web Programmer looking for an interim opportunity to start on 6th January 2020. Key Duties & Responsibilities; Based in our clients Digital Factory..."
"12 Month Placement","£15.6k per year + Monthly Bonus","Glasgow","3 December","HAYS 12 Month Placement Recruitmen t Consultant Have you considered a placement as a recruiting expert at Hays? Applications are being accepted for Interns to commence in 2020, for your 3rd year placement option on your..."
"Sales Director","£competitive + Bonus + Options","Perth And Kinross","3 December","Eden Scott are delighted to be working with one of Scotland's fastest growing alcoholic drinks businesses. The business is in a strong financial position and we are looking to attract a highly ambitious and driven sales..."
"Administrator","£9.20 - £9.24 per hour","Glasgow","3 December","Our Client is looking for 2 experienced administrators to join their Customer Service Team. This role is based in North Lanarkshire and expected to last a minimum of 5 months with a chance of extension. Pay Rate: £9..."
"Systems Architect","","Glasgow","3 December","An exciting opportunity has come to the Glasgow market for a Temporary Systems Architect looking for an interim opportunity to start on 6th January 2020. Key Duties & Responsibilities; Based in our clients Digital..."
"Tender Manager","Negotiable, depending on experience","Glasgow","3 December","First People Solutions are working in partnership with a large oil and gas company based in Glasgow. We're currently looking for a Tender Manager to join the team on a permanent basis..."
"Young People's Substance Misuse Worker","£Negotiable","South Lanarkshire","3 December","Addaction is looking to appoint a motivated and enthusiastic Substance Misuse Worker to join its Young People's Service covering the South Lanarkshire area. The service provides community based support in both group and..."
"Apply now","Gravedigger (3 Posts) (Permanent) - REN04832","Salary: £18,810 - £20,836","Location: Renfrewshire","Date posted: 3 December"
"Apply now","Community Development Manager - STR03855","Salary: £51,486 - £53,823","Location: Stirling","Date posted: 3 December"
"CT3376 - SWIMMING TEACHER (CASUAL) - FLK05722","£11.97 - £11.97","Falkirk (Town)","3 December","Job Advert We are looking for enthusiastic and motivated swimming teachers to deliver our new Learn to Swim Programme in conjunction with the Scottish Swimming National Framework. We offer: â?¢ Excellent rates..."
"Maintenance Electrician","£18.00 - £18.50 per hour","Edinburgh","3 December","Electrical Maintenance work in city centre Ongoing work in Edinburgh City Centre for Qualified Electrician with experience. Hays Trades and Labour are the leaders in the supply of qualified Electricians to the main..."
"Trust Development Manager","£30/35,000/annum","Dunoon","3 December","Job Title: Trust Development Manager Date: November 2019 Duration: Fixed term - 24 months Salary: £30 to £35k/annum Hours: Full time Reports to: Board of the Dunoon Burgh Hall Trust (DBHT) ..."
"Facilities Coordinator","Up to £10 per hour","Aberdeen","3 December","Reed Business Support is currently looking for a Facilities Coordinator to join our client based in Dyce. This role would be starting as soon as possible, and will be temporary for around three months before becoming permanent..."
"Sales Executives","£19.5k + Uncapped Bonus","Glasgow","3 December","Are you passionate about making a difference? Do you thrive in a fast-paced environment? Do you want to work for a market leading global company? Then please read on...... You will be based in a newly refurbished office, which..."
"Customer Assistant - 31 To 40 Hours, Granton","£9.00 with the ability to earn up to £10.10 per hour","Edinburgh","3 December","The variety and pace that comes with every shift as a Customer Assistant at Lidl needs dedication and flexibility. Our stores are open Monday to Sunday so you'll need to be able to work weekends, as well as weekday shifts..."
"Estates Caretaker Required Glasgow ASAP","negotiable depending on experience","Glasgow","3 December","Peace Recruitment is working with a busy housing association supporting their search for an estates caretaker to join their growing team in Glasgow. This opportunity will allow you to work on the landscaping contract supporting..."
"BI/Data Consultant (SAS)","£25000 - £50000 per annum + Bonus + Healthcare","Edinburgh","3 December","FPSG is currently recruiting for a BI/Data Consultant to join the IT and Data Consulting team within a UK based consultancy. You will work primarily on their customer sites (within the Central Belt), alongside other consultants..."
"Estates Caretaker Required Glasgow ASAP","negotiable depending on experience","Glasgow","3 December","Peace Recruitment is working with a busy housing association supporting their search for an estates caretaker to join their growing team in Glasgow. This opportunity will allow you to work on the landscaping contract supporting..."
"Senior Software Engineer","£60,000 - £70,000 + bonus & benefits","Edinburgh","3 December","Senior Software Engineer Edinburgh £60,000 - £70,000 + bonus & benefits Your new company Change Recruitment are partnered with their forward thinking Digital Banking client in Edinburgh..."
"Senior HR Business Partner","£32,287 - £37,689","Glasgow","3 December","#BecauseScotlandCares Turning Point Scotland's HR team supports all of our social care services across Scotland and is based in Govan, Glasgow. The innovative thinking and positive, inclusive approach of the organisation..."
"Finance Assistant","£20000 - £23000 per annum","Glasgow","3 December","Our client is looking to recruit a temporary Finance Assistant on a part time basis Client Details Our client is market leader in their field Description The responsibilities of the role include but are not limited to: *..."
"Recruiter","£18,000 - £25,000 (Realistic OTE £32k uncapped)","Glasgow","3 December","Recruiter £competitive plus Bonus (Realistic OTE £32k, uncapped) Glasgow Looking for your next move in Recruitment? Or looking to become a Recruiter? We are hiring!! If you have a Recruitment or strong..."
"Customer Service Agent","Up to £18720.00 per annum","Dunfermline","3 December","Would you like to work for a company that is rated as 9.3/10 on Trust Pilot? We are seeking a number of confident and energetic Customer Advisors to start immediately. Our Dunfermline based client is a top rated provider of..."
"Sales Admin Assistant","£18000.00 - £22000.00 per annum","Stirling","3 December","Do you enjoy interacting with customers? Can you quickly and accurately process customer orders whilst maintaining a high standard of customer service? Would you like to work as part of a small and supportive sales team? We..."
"Heating Engineer","£17.00 - £18.00 per hour","Perth And Kinross","3 December","Heating Engineers required Perth & Dundee area for long term contract. Your new company New jobs have become available for heating engineers in and around the Perth and Dundee areas with a well-known M&E contractor..."
"Cleaner - 21 To 30 Hours, Granton","£9.00 with the ability to earn up to £9.30","Edinburgh","3 December","Cleaning a Lidl store is no easy task; first there's the shop floor to clean, the warehouse to mop, the staff room to scrub and toilets to bleach. It's might be a short day's work but it's certainly a busy..."
"Part Time Purchase Ledger Administrator","£20000.00 - £21000.00 per annum","Perth And Kinross","3 December","Permanent Part Time Purchase Ledger Administrator (20 hours a week) in Perth, Salary up to £21,000 pro rata Your new company Hays Accountancy & Finance are recruiting on behalf of their established client based..."
"Operations Manager","Competitive","Aberdeen","3 December","Peace Recruitment are currently working alongside a well-known main contractor to recruit experienced Operations Manager on a permanent basis for projects in the Aberdeenshire area ranging in value from £1M to..."
"Infrastructure Engineer","£30000.00 - £35000.00 per annum","Glasgow","3 December","Infrastructure Engineer - Up to £35k - Glasgow Your new company Your new company is a market leading organisation that has been recently experience a sustained period of growth and as such has the requirement for an..."
"Accounts Payable Clerk","£Highly Competitive","Irvine","3 December","ACCOUNTS PAYABLE / PURCHASE LEDGER SPECIALIST 6 MONTHS FIXED TERM CONTRACT - longer term opportunities likely - Immediate start available Highly successful international organisation seeks an experienced..."
"Receptionist","To define","Glasgow","3 December","Company description: Morgan Philips Group is an innovative recruitment business with a footprint across 4 continents. In just 5 years, we have built a global platform that disrupts conventional thinking in executive and..."
"Customer Assistant - 21 To 30 Hours, Dundee City Centre","£9.00 with the ability to earn up to £10.10 per hour","Dundee","3 December","The variety and pace that comes with every shift as a Customer Assistant at Lidl needs dedication and flexibility. Our stores are open Monday to Sunday so you'll need to be able to work weekends, as well as weekday shifts..."
"Department Coordinator","£30 - 40k","Edinburgh","3 December","Are you an and experienced PA/EA? Do you enjoy the challenge of working in a varied/busy role providing support to the Senior Management team and would you like to work for an organisation who will truly value your input and..."
"Site Manager","Competitive","Aberdeen","3 December","Peace Recruitment are currently working alongside a well-known main contractor to recruit experienced Site Manager on a permanent basis for projects in the Aberdeenshire area. The successful candidate will come from a main..."
"Administrative Assistant","£ Competitive","Aberdeen","3 December","We are looking for an enthusiastic Administrative Assistant for a busy and dynamic professional services office. This role will be extremely varied and provide exposure to marketing, finance, office management and events..."
"Temporary Administrator *Immediate Start*","£9 - £10 per hour","Aberdeen","3 December","Search Consultancy are currently recruiting for an administrator on a temporary basis for our client in the centre of Aberdeen. The perfect candidate would be immediately available and ideally have experience within..."
"Civil Engineering Technician","£22,417 - £25,941","Dundee","3 December","Abertay is a modern university with a global outlook, rooted in its local and national communities. We have made our mark with high quality, well-directed teaching and research, and a stimulating and enriching experience for our..."
"Project Manager","Competitive","Aberdeen","3 December","Peace Recruitment are currently working alongside a well-known main contractor to recruit an experienced Project Manager on a permanent basis for projects in the Aberdeenshire area..."
"Small Works Manager","£35000.00 - £40000.00 per annum + Plus Benefits","Aberdeen","3 December","Small Works Manager role based in the North East, around Aberdeen/Dundee Your new company You will be working for a leading facilities management company who specialise in a wide range of services..."
"Apply now","Clerical Assistant - EDN11877","Salary: £18,316 - £21,190","Location: Edinburgh","Date posted: 3 December"
"Apply now","Headteacher - Broomhills Primary School - EDN12115","Salary: £59,796 - £59,796","Location: Edinburgh","Date posted: 3 December"
"Principal Teacher of Transitions (PSL) (Temporary) - GLA05831","£43,836 - £43,836","Glasgow","3 December","Job Description Can you make a difference to the future lives of Glasgow's children? What are your aspirations as a middle manager in education? Here is an opportunity you will not want to miss in Glasgow..."
"Class Teacher, 102.16 - WEL03928","£32,034 - £40,206","Livingston","3 December","Job Advert Class Teacher, Harrysmuir Primary School, 19.84 hours per week, Fixed term until 16th August 2020, Closing Date 8th December 2019 Harrysmuir Learning Community consists of Harrysmuir Primary School, Inveralmond Early..."
"Senior Inspection Coordinator","£Attractive + Benefits","Aberdeen","3 December","It's an incredibly exciting time at Applus UK. As we continue to expand we are looking to recruit a Senior Inspection Coordinator to join our team in Aberdeen on a staff permanent contract..."
"RTA Claims Handler","£17000 - £24000 per annum","Edinburgh","3 December","We have an exclusive opportunity working within a Scottish solicitors with a strong presence in Edinburgh for an experienced claims handler to join their expanding team based in Leith..."
"Groundworker","Negotiable","Perth","3 December","Peace Recruitment are working with a busy main contractor that are looking for an experienced Groundworker to work on a large, prestigious project in Perth. The successful candidate must have experience doing pipelaying and..."
"Accounts Assistant","£22k depending on experience","Renfrew","3 December","Renewable Parts are an innovative and unique business; we offer services including refurbishment and parts to the Renewable energy market. We currently have office and warehouse facilities in Renfrew and a parts refurbishment..."
"Groundworker","Negotiable","Stirling","3 December","Peace Recruitment are working with a busy main contractor that are looking for an experienced Groundworker to work on a large, prestigious project near Stirling & Falkirk. The successful candidate must have experience doing..."
"Support Practitioner","£ 18,252 pa","East Kilbride","3 December","Support Practitioner - East Kilbride Why not join The Richmond Fellowship Scotland, the biggest & best Social Care organisation to work for in Scotland? It`s not just a job but a career and more importantly, you will help..."
"Team Leader - Trimming","£competitive","Rosyth","3 December","Team Leader - Trimmings Rosyth Are you driven to meet tight deadlines while working to high standards? You could be the person we're looking for! We are currently looking to identify a suitably experienced person..."
"DevOps Engineer - Glasgow","£30,000 - £40,000 10% bonus","Glasgow","3 December","Be-IT is currently working with a large analytics company based in Glasgow. We are looking to recruit a DevOps Engineer. The DevOps Engineer will be engaged in the optimization of engineering processes and tooling affecting the..."
"Admissions Assistant","£19,400 - £20,583 per annum","Inverness","3 December","The University of the Highlands and Islands (UHI) is the United Kingdom's leading integrated university encompassing both further and higher education. Based in the Highlands and Islands of Scotland, our distinctive..."
"Junior Software Engineer - Glasgow","£32,000 10% bonus","Glasgow","3 December","Junior Software Engineer - Glasgow Permanent - Full-Time Salary - up to 32,000 This is a fantastic opportunity to work with a large software and analytics company based in Glasgow..."
"Assistant Buyer","","Glasgow","3 December","Nine Twenty Engineering Manufacturing are delighted to be continually assisting our manufacturing client in their need for an Assistant Buyer to join their team on a 18 month contract basis..."
"Senior Software Engineer (Remote Working) - Edinburgh","£50,000 - £80,000 long list of benefits","Edinburgh","3 December","Remote working or office based you choose. Do you value team work and a work/life balance ? Are you a senior software engineer and have a pragmatic approach to your work, constantly striving to deliver world class..."
"Finance Administrator","£18-20k per annum + 33 days holiday","Motherwell","3 December","Are you currently working within Accounts/Finance? Have experience of working within Accounts Receivable? Yes? We would love to hear from you! We currently recruiting for a Finance Administrator to join the busy Accounts..."
"Childcare Practitioner","£18,974 - £20,421","Inverness","3 December","Childcare Practitioner 35 Hours Term Time Only (0.9260 FTE), Permanent contract Grade C (Salary range £18,974 - £20,421 per annum) We are one of the largest partners of the University of the Highlands..."
"IT Sales / Business Development","c£40k + Comm (ote £80k) + Car Allowance + Bens","Glasgow","3 December","My client are a very well established, award winning organisation and have consistently gone from strength to strength over the years. They are known for their excellent customer service that is second to none in the market and..."
"Senior DevOps Engineer - Remote","£60,000 - £92,000","Edinburgh","3 December","We have an amazing opportunity for a Senior Cloud Engineer. This company have offices in central Edinburgh and their work environment is light and bright with inspiring spaces and quiet places..."
"Purchase Ledger Assistant","£Dependent Upon Experience + Benefits","West Lothian","3 December","Ian Macleod Distillers Ltd. 'An international, entrepreneurial, brand-led, successful and respected, family business' We are Ian Macleod Distillers and 'Crafting Spirits with Passion' is..."
"Engineering Manager - Edinburgh","£52,000 - £80,000","Edinburgh","3 December","Do you value teamwork and a work/life balance ? Are you a Team Leader who has a pragmatic approach to your work, constantly striving to deliver world class software solutions? Working for our client will give you the..."
"Internal Business Development / Account Manager","£25k + Comm (high / uncapped) + Excellent Benefits","Glasgow","3 December","My client is a very well established, Scottish based organisation who are very much at the forefront of their sector. With offices UK wide they offer a complete and unparalleled service..."
"Dutch Speaking Technical Support Representative","£20000 - £23000 per annum + Relocation Package *","Edinburgh","3 December","Dutch Speaking Technical Support Representative £20,000 - £23,000 per annum + Relocation Package * Starting Date: 9th of December 2019 Location: Edinburgh City Centre An amazing opportunity is now available..."
"Valuations Executive","£Dependent on experience","Glasgow","3 December","This international accountancy and business advisory firm currently requires an Executive to join its growing Valuations team in Scotland The Firm The Firm is one of the largest accountancy practices in the UK, offering..."
"Graphic Designer - VR/21136","£Available upon request","Aberdeen","3 December","**EXCLUSIVE** An opportunity has arisen for a Graphic Designer to join this leading organisation. Based in Aberdeen City Centre, this unique opportunity will be for 12 months. This role provides the successful candidate a chance..."
"Java Developer - Glasgow","£37,000 10% bonus","Glasgow","3 December","Java Developer - Glasgow Permanent - Full-Time Salary - up to 37,000 This is a fantastic opportunity to work with a large software and analytics company based in Glasgow..."
"Level 3 Qualified Early Years Practitioner","£7.1 - £9 Per Hour","Inverness","3 December","Busy Bees in Inverness are looking for a Level 3 Qualified Nursery Practitioner/Nursery Nurse to join our Team. The top 5 Reasons to join us! Childcare provision with substantial childcare discounts ..."
"Support Practitioner","£ 18,252 pa","Aviemore","3 December","Support Practitioner - Aviemore Would you like a fantastic new career in Health and Social Care? Why not start your day hoping to make a difference and end your day knowing you did..."
"Lead Generation / Telemarketing","c£18 + Comm + Benefits","Glasgow","3 December","I am currently working with a Technology based company in the Glasgow area who are looking to employ an experienced Telemarketing / Lead Generation Executive...You will be responsible for making appointments with both new and..."
"Technical Architect - Glasgow","£70,000 20% commission","Glasgow","3 December","Supporting the company's global sales and presales organizations, Technical Architect is responsible for the design, build and on-going support of demonstration systems for presentation to clients and prospects during sales..."
"Business Development Manager - Field","£25k + Comm + Excellent Benefits","Glasgow","3 December","My client is a Global organisation who are very much at the forefront of their sector. With offices worldwide they continue set the standards for all their competitors to follow. As part of an ongoing expansion plan they are..."
"Technical Lead Developer - Glasgow","£60,000 10% bonus","Glasgow","3 December","The Technical Lead will be responsible for both the effective day-to-day operation of a team of engineers delivering high-quality product features for the product and for providing technology leadership as an architect and a..."
"Audio Typist/ Secretary","£10.00 - £10.22 per hour","Clydebank","3 December","Allstaff Office Division are currently recruiting for an experienced Audio Typist to work with our client based in Clydebank on a 3 month contract, with the possibility to be extended..."
"Payroll Assistant","£12.00 - 14.50 per hour","Edinburgh","3 December","Fyte are delighted to be supporting a large Charity in Edinburgh, City Centre to appoint a Payroll Assistant on a 3 - 6 month interim assignment. Reporting directly to the Head of Finance, you will play an integral role..."
"Support Practitioner","£ 18,252 pa","Renfrew","3 December","Support Practitioner - East Renfrewshire Why not join the Richmond Fellowship Scotland, the biggest & best Social Care organisation to work for in Scotland? It`s not just a job but a career and more importantly, you will..."
"Senior DevOps Engineer - Edinburgh","£60,000 - £70,000","Edinburgh","3 December","This role is with a forward thinking business who have been in AWS since beginning. Willing to take risks early adopters of Kubernetes (this could have been viewed as a risk but there is real trust in the tech team and the..."
"F&S Planned Works Coordinator","£9.00 - £10.00 per hour","Glasgow","3 December","Allstaff Office Division are recruiting for a Fire and Security Coordinator to work on a temporary contract with our client based in the outskirts of Glasgow City Centre. For the right candidate this role will become permanent..."
"Finance Assistant","£20000 - £22000 per annum","Edinburgh","3 December","Finance Assistant £21,000 Eden Scott's client is a growing and dynamic manufacturing organisation based in Edinburgh. They are currently recruiting for an enthusiastic Finance Assistant to join their team,..."
"Senior Pensions Administrator (Technician)","£32000.00 - £40000.00 per annum","Stirling","3 December","SIPP Senior Technician - Stirling Your new company The largest pure pensions consultancy in the UK, specialising in pensions actuarial, investment consulting and administration, with revenues of over £110 million..."
"Senior Structural Technician","","Glasgow","3 December","Job Role: Senior Structural Technician Location: Glasgow Start: ASAP Salary: Excellent & Benefits Our client who are a Global Consultancy with their European Head Office in Glasgow are looking to add to our successful..."
"Accounts Payable Analyst","","Dundee","3 December","Accounts Payable Analyst £23,000 - £25,000 Search Consultancy is currently recruiting for an Accounts Payable Analyst role with a market leading company based locally in Dundee..."
"Site Supervisor","Up to £20 per annum + Competitive Rate","Aberdeen","3 December","Search Construction is looking to recruit a Site Supervisor to work for a fitout contractor who are doing a full office fitout of a new building. This is a full fit out project taking an open planned floor and creating in the..."
"Temporary Sales Ledger Clerk","£18000 - £20000 per annum","Glasgow","3 December","Allstaff Office Division are looking for a Sales Ledger Clerk to work with our client based in the outskirts of Glasgow City Centre on a 5 month temporary contract. A fantastic opportunity for an experienced finance candidate to..."
"Data Management Analyst - Edinburgh","£38,000 - £43,000","Edinburgh","3 December","An exciting opportunity has arisen for a Data Management Analyst, based with an exciting financial services company in Edinburgh. The Data Management Analyst use technical expertise to analyse the definition, lineage and quality..."
"Bookkeeper","£19,000 to £23,000","Perth","3 December","Jenson Fisher are delighted to be working with an established, long-term client who are looking to add a Bookkeeper to their business on a permanent, full time basis. Working as part of a busy finance team, the Bookkeeper will be..."
"Cleaner - 11 To 20 Hours, Kelso","£9.00 with the ability to earn up to £9.30","Kelso","3 December","Cleaning a Lidl store is no easy task; first there's the shop floor to clean, the warehouse to mop, the staff room to scrub and toilets to bleach. It's might be a short day's work but it's certainly a busy..."
"Department Co-ordinator","","Edinburgh","3 December","Job Description: A leading investment management firm has a new permanent opportunity for a Department Co-ordinator. This is a very exciting opportunity to take on a varied and busy role where no day is the same..."
"Contract Manager","£65000 - £75000 per annum","Airdrie","3 December","First People Solutions are currently assisting an established and continually growing engineering client in their search for an experienced Contracts Manager to join their Projects/Construction team based in Central Scotland..."
"Assistant Quality Manager","Competitive Salary","Fife","3 December","An excellent opportunity has arisen with our client for a dedicated Assistant Quality Manager to work with the current quality manager to implement best practice across the site..."
"Process Improvement Officer","£29,329 - £33,894","Glasgow","3 December","The Scottish Qualifications Authority is Scotland's national awarding and accreditation body. We are trusted to oversee thousands of qualifications that are available in schools, colleges and workplaces, not just in this..."
"Software Developer","Generous Salary Benefits","Edinburgh","3 December","Are you a Software Developer looking for role in start up environment where you can make real input? Do new technologies, approaches and principles excite you? Would you enjoy taking lead role in delivering and supporting mobile..."
"Embedded Test Engineer","Salary DOE Benefits","Edinburgh","3 December","Are you passionate about testing, willing to question and challenge rather than accept as is? Would you like to work in an RD focused environment testing cutting edge Embedded software on hardware platforms? Then this is a role..."
"Trainee Production Planner","","Cumbernauld","3 December","We are currently recruiting for a Production Planner / Route Planner on behalf of our Engineering client in Cumbernauld. They require a junior planner who can *Produce works orders and routes in accordance with..."
"Mortgage Advisor","£30000","Edinburgh","3 December","Mortgage Advisor - Leith- Permanent - Upto £30K DOE Are you looking for an opportunity to develop your career in a progressive and supportive environment? Are you CeMap Qualified? I am working on an opportunity for..."
"Agile Project Manager","Salary DOE Benefits","Aberdeen","3 December","Agile Project Manager - Aberdeen Fantastic opportunity for experienced Project Manager with experience in Agile environments to join growing software development team at exciting time and help create the next..."
"Customer Service Advisor","","Edinburgh","3 December","Are you looking for a fresh start in 2020? The chance to go to work every day knowing that you're genuinely making a difference to peoples' lives? Motability Operations Ltd is looking for Customer Service Advisors to join..."
"Customer Service Advisor","Up to £25807.00 per annum","Edinburgh","3 December","Are you looking for a fresh start in 2020? The chance to go to work every day knowing that you're genuinely making a difference to peoples' lives? Motability Operations Ltd is looking for Customer Service Advisors to join them..."
"Junior Stores Assistant","Up to £21000 per annum","Stirling","3 December","Connect Appointments have a fantastic opportunity for a Junior Stores Assistant to join our specialist client based in Stirling on a full time, permanent basis. This is an excellent opportunity for an ambitious individual..."
"Production Operative","","South Lanarkshire","3 December","Our client in South Lanarkshire to recruit experienced Production Operatives, which may lead to a permanent position within the organisation. The ideal candidate will essentially have: Worked in a busy production environment..."
"Warehouse Operator","","Livingston","3 December","Escape Recruitment have an excellent opportunity for experienced Warehouse Operatives with our client based on the Livingston are. This is a temporary ongoing position with immediate start..."
"Job Description - Senior IT Support Technician","£25,000 - £32,000","Inverness","3 December","Are you an ambitious IT Support Technician who wants to utilise your technical skills in an environment where your skills are recognised and valued? Would you like to work for a successful and growing company that has built a..."
"Contracts Manager - Construction","Competitive Remuneration & Benefits Package","Aberdeen","3 December","The CHAP Group (Aberdeen) Ltd is one of Scotland's leading privately owned construction groups. We have an inspiring heritage dating back to 1976 when the Company was founded, and a reputation for valuing our employees..."
"Payroll Assistant","£ Competitive","Aberdeen","3 December","Hutcheon Mearns have been engaged by a private equity backed service business to source an exceptional Payroll Assistant on a contract basis. Within this role, the successful individual will primarily be responsible for..."
"Claims Handler (Solicitors)","£17000 - £24000 per annum","Edinburgh","3 December","We have an exclusive opportunity working within a Scottish solicitors with a strong presence in Edinburgh for an experienced claims handler to join their expanding team based in Leith..."
"Retail Sales / Customer Service Advisor","Up to £9.50 per annum","Glasgow","3 December","Blue Arrow Glasgow are currently recruiting a number of Retail Sales / Customer Support Advisor for a global mobile phone provider which has over 400million customers worldwide. They have a reputation for being passionate about..."
