"Title","Salary","Location","Description"
"Childrens Community Support Worker / Intervenor","£9.08 - £10.01 per hour","Bristol","Are you looking for a rewarding job where you go home knowing that you have made a real impact on someone's life? Sense has a great opportunity for passionate and dedicated individuals to join our team as a Childrens Community Support Worker / Intervenor..."
"Support Worker","£8.50 per hour","","Reference number: 43853 Title: Support Worker - Waking Nights Location: Peterborough Salary: £8.50 per hour Hours: 27 hours per week Closing date: Monday 16 December 2019 Interview date: To be confirmed Contract type: Permanent Are you looking..."
"Team Leader","£17,500 per annum, pro-rata","","Sense has a great opportunity for a passionate and dedicated individual to join our team as a Team Leader in Louth. This is a permanent role working 35 hours per week. About the role. . As a Team Leader you will supervise other team members to ensure..."
"Facilities Coordinator","Competitive salary","Hemel Hempstead","Facilities Coordinator Salary/Rate - Competitive Bonus Location - Hemel Hampstead- This role will require travel so is essential to have a driving license Key responsibilities: Responsible for managing all site coordinators, and ensuring appropriate cover..."
"Nurse / RGN - Care Home - Bedford (Day shift)","£17.00 - £19.00 per hour, negotiable","Bedford","Elderly Care Home based in Central Bedford requires a RGN to work day shifts of 36 hours a week. POST: Registered General Nurse RESPONSIBLE TO: Home Manager Main roles and responsibilities: To take overall responsibility for all the clients within the..."
"Chartered Valuation Surveyor -Taunton","£30,000 - £80,000 per annum","Taunton","My client an Independent Surveying Practice is looking for a Residential Surveyor. My client is looking for additional surveyors to carry out bank & building society valuations. You must be FRICS/MRICS or ASSOC RICS and a registered valuer. The role..."
"Business Intelligence Support Analyst","£20,000 - £25,000 per annum","Shropshire","Another role we are working exclusively with a Shropshire based client to recruit is a Business Intelligence support analyst for their exciting and constantly growing business. As a globally recognised Business Intelligence specialist consultancy, they..."
"RTA Solicitor","£30,000 - £36,000 per annum","Macclesfield","A well known and well-established firm in Macclesfield is seeking an RTA solicitor with demonstrable fast-track litigation experience. You'll be joining a well-run leading personal injury department which is currently expanding due to continued growth..."
"IT System Developer","£40,000 - £50,000 per annum","Ringwood","IT System Developer Hampshire / Dorset 50,000 As an experienced IT System Developer proficient in using Lotus Notes/Domino, you'll be successful in this advertised role if you're looking for a hands-on role within an established, successful and close-knit..."
"Barista","£8.21 - £9.21 per hour","Dartford","Do you want to be at the heart of Costa Coffee? There are many roles at Costa Coffee that help make us who we are. But, without our Baristas on the front line, making customer experiences truly great, our product would be worthless. It's our Baristas that..."
"Barista","£8.21 - £9.21 per hour","Beckton","Do you want to be at the heart of Costa Coffee? There are many roles at Costa Coffee that help make us who we are. But, without our Baristas on the front line, making customer experiences truly great, our product would be worthless. It's our Baristas that..."
"Barista Maestro","£8.86 - £9.86 per hour","Exmouth","Did you know Maestro means 'Master of Art'? So of course, in our world that means Coffee Art - So only passionate coffee lovers need apply. Our Barista Maestro's are always there demonstrating what it takes to craft great coffee and leading by example..."
"Trade Reservations Executive Free Annual Cruise!","£25,000 per annum","London","Trade Reservations Executive, Luxury Travel Company, 25,000 ( 31,000 OTE), London, Free Annual Cruise Our client, an extremely well-established Luxury Travel company based in Central London, are looking to recruit five experienced Reservations candidates..."
"Analyst","£28,000 - £32,000 per annum","London","Our client, a bespoke management consultancy based in South London are looking for an Analyst to join their growing team. We are looking for a bright Grad, with 6-12 months experience. In the role, you will be liaising with clients on a day to day basis..."
"Part Time Team Assistant","£25,000 - £28,000 per annum","London","National Travel provider are looking for a Part Time Team Assistant to help support their PA and EA Your new company This company brings together a variety of of other companies to support the nations travel run as smoothly as possible. They role has become..."
"Loading Bay Operative - Nightshift","£17,680 per annum","Edinburgh","Every year our teams deliver up to 150 million items through our network. Having the largest individual share of the national market and employing over 9,000 people in the UK there is no better time to join the People Network As a Loading Bay Operative..."
"Front End Developer - ReactJS, React Native","£30,000 - £45,000 per annum","Newport, Gwent","Front End Developer - ReactJS, React Native 30,000 - 45,000 Newport Looking to speak to a Mid/Senior Front End Developer to work for a Tech Start Up in South Wales, giving the opportunity for their developers to work alongside their team in America Developing..."
"IT Support Engineer","£25,000 - £27,000 per annum","Staverton, Cheltenham","Fabulous opportunity for an experienced IT Support Engineer, covering all aspects of IT work across the group businesses and user levels. My client has a portfolio of market-leading businesses throughout the UK who deliver temporary traffic solutions to..."
"Tax Assistant","£18,000 - £25,000 per annum","Liverpool","One of the UK's largest accountancy and business advisory firms are seeking a Tax Assistant to join their Liverpool team. You will be providing services to ambitious businesses within the UK and worldwide. They are a profitable, dynamic and forward-looking..."
"Self-Employed Financial Advisor - Dudley","£50,000 - £100,000 per annum","Dudley","Our clients, a well-established Independent Financial Advisors, are looking for experienced Self - Employed Financial Advisors to join their busy team in Dudley. The company has 800 years combined Advisory experience within a team of over 60 advisors looking..."
"Commercial Electrician Fixed Wire Testing","£28,000 per annum","South Yorkshire","Commercial Electrician (Fixed Wire Testing) 28,000 Bonus (OTE 38,000) Car (Available for Personal use) Phone Fuel Card Tools Home based with no stays away, covering a 50-mile location of your home location Are you a Commercial Electrician with either an..."
"Global CRM Manager","Competitive salary","West London","Who are we? The Juice Plus Company is an innovative, fast-moving C2C (consumer-to-consumer) company present in over 25 countries worldwide, servicing over 4 million satisfied customers with our over independent 200.000 Partners globally. With our products..."
"Assistant Accountant","£28,000 - £30,000 per annum","Crawley","Reed Accountancy are looking for an experienced  Assistant Accountant to join their client's expanding finance team. This role will suit an ambitious individual with a proven record, looking for the next step in their accounting career. Key responsibilities..."
"SUPPORT WORKER (16hrs) - Folkestone S/L - £8.21 p/h","£8.21 per hour","Folkestone","SUPPORT WORKER (16hrs) - Folkestone S/L - 8.21 p/h About the Role: We are looking for, preferably, a Male Support Worker to join our friendly Martello Flats Folkestone S/L team based at our service in Folkestone in Kent. Folkestone S/L has easy access..."
"Marketing Careers that are Baked Full of Opportunity","Salary negotiable","St. Albans","Marketing Careers that are Baked Full of Opportunity Love the commercial cut and thrust and delight in understanding shoppers, consumers and retailers? Do you have the ability to 'live your brand' and share your passion with all stakeholders? Can you inspire..."
"Youth Worker, Blackburn","£9.50 - £10.50 per hour","Blackburn","Teaching Personnel are seeking a Youth Worker to work in one of our partner Schools in the Blackburn area. The School is smaller than average and specifically caters for pupils with SEMH Difficulties, Autism, ADHD, ODD and Challenging Behaviours. The School..."
"Engagement and Internal Communications Executive","Salary negotiable","Luton","Job Role:   Engagement and Internal Communications Executive Location:  Luton Job Sector:  HR   Hours:  35 Hours As Engagement and Internal Communications Executive, you will contribute to our vision of being the leading residential property manager, as..."
"Sociology, Criminology and Law lecturer.","£130.00 - £150.00 per day","Rotherham","Sociology, Criminology and Law lecturer. Tradewind are working with a Further Education group in the Rotherham area seeking a qualified Sociology, Criminology and Law lecturer on a part time basis one and a half days per week Thursday and Friday. The role..."
"Support Worker - Waking Nights","£8.50 per hour","","Are you looking for a rewarding job where you go home knowing that you have made a real impact on someone's life? Sense has a great opportunity for a passionate and dedicated individual to join our team as a Support Worker in Louth. This is a permanent..."
"Support Worker","£8.50 per hour","","Support Worker Reference number: 43854 Title: Support Worker Location: Peterborough Salary: £8.50 per hour Hours: 37.5 hour per week Closing date: Monday 16 December 2019 Interview date: To be confirmed Contract type: Permanent Are you looking..."
"Childrens Community Support Worker / Intervenor","£9.08 - £10.01 per hour","","Are you looking for a rewarding job where you go home knowing that you have made a real impact on someone's life? Sense has a great opportunity for passionate and dedicated individuals to join our team as a Childrens Community Support Worker / Intervenor..."
"Customer Service Representative","£20,000 per annum","","Centre for Health and Disability Assessments (CHDA) delivers the Health Assessment Advisory Service on behalf of the Department for Work and Pensions (DWP). With over 150 Assessment Centres across the UK, our highly trained doctors, nurses and physiotherapists..."
"Revenue Systems Accountant","£50,000 per annum, inc benefits","Manchester","Revenue Systems Accountant | Manchester | 50k benefits | Tourism | Qualified/QBE Marks Sattin are continuing their long standing relation with a highly reputable, Manchester City client assisting in the recruitment of a Systems Accountant. Supporting the..."
"Automation Engineer Powershell","£50,000 - £55,000 per annum","London","Automation Engineer - Powershell - Windows - Linux - Permanent In exciting opportunity has arisen for an Automation Enigneer to join a global financial services client in the City. They have a number of international sites that require system administration..."
"Support Worker","£8.50 per hour","","Reference number: 43853 Title: Support Worker - Waking Nights Location: Peterborough Salary: £8.50 per hour Hours: 27 hours per week Closing date: Monday 16 December 2019 Interview date: To be confirmed Contract type: Permanent Are you looking..."
"Team Leader","£17,500 per annum, pro-rata","","Sense has a great opportunity for a passionate and dedicated individual to join our team as a Team Leader in Louth. This is a permanent role working 35 hours per week. About the role. . As a Team Leader you will supervise other team members to ensure..."
"Data Analyst Trainer - Leeds - £35-40k","£35,000 - £40,000 per annum","Leeds","DATA ANALYST TRAINER I'm currently recruiting on behalf of a training provider, that specialise in the delivery of tech and digital apprenticeships, for a Data Analyst Trainer Based in Leeds, and on a salary of 35- 40k depending on experience, it'll be..."
"Animal Technician","£16,832 per annum","Blackthorn","On behalf of our client, we are looking to recruit an Animal Care Technician to join a team carrying out daily care and welfare duties for laboratory animals. Please note that due to our client's rural location and in the absence of suitable public transport..."
"Marketing Manager","Competitive salary","Stretford, Manchester","Marketing Manager Competitive salary - Manchester Due to growth, AlcumusISOQAR are recruiting for a Marketing Manager (Customer Value) to join the team in Manchester. Reporting to the Head of Marketing, the Marketing Manager opportunity holds responsibility..."
"Support Worker","£8.50 per hour","Louth, Lincolnshire","Weekend Support Worker Reference number: 43871 Title: Weekend Support Worker Location: Louth, Lincolnshire Salary: 8.50 per hour Hours: Up to 15 hours per week Closing date: Wednesday 18 December 2019 Interview date: To be confirmed Contract type: Permanent..."
"Management Assessor/Tutor","£24,000 - £30,000 per annum","Nottingham","Management Assessors needed in Midlands/West Midlands I am recruiting for 2 Management Tutor Assessors, to support on ILM and CMI accredited programmes, and in particular on apprenticeships. One position to support on Level 3, and one position to support..."
"Support Worker","£8.50 per hour","Peterborough","Support Worker Reference number: 43854 Title: Support Worker Location: Peterborough Salary: 8.50 per hour Hours: 37.5 hour per week Closing date: Monday 16 December 2019 Interview date: To be confirmed Contract type: Permanent Are you looking for a rewarding..."
"Childrens Community Support Worker / Intervenor","£9.08 - £10.01 per hour","Bristol","Are you looking for a rewarding job where you go home knowing that you have made a real impact on someone's life? Sense has a great opportunity for passionate and dedicated individuals to join our team as a Childrens Community Support Worker / Intervenor..."
"Paraplanner - Hove","£35,000 - £45,000 per annum","Hove","Our clients, a well-established IFA business, are looking for an enthusiastic Paraplanner to join their professional team in Hove. The client is growing steadily and already has a great reputation in the area with a wide range of clients. They deal with..."
"Support Worker - Waking Nights","£8.50 per hour","","Are you looking for a rewarding job where you go home knowing that you have made a real impact on someone's life? Sense has a great opportunity for a passionate and dedicated individual to join our team as a Support Worker in Louth. This is a permanent..."
"Support Worker","£8.50 per hour","","Weekend Support Worker Reference number: 43871 Title: Weekend Support Worker Location: Louth, Lincolnshire Salary: £8.50 per hour Hours: Up to 15 hours per week Closing date: Wednesday 18 December 2019 Interview date: To be confirmed Contract..."
"Corporate receptionist","£23,000 per annum","Manchester","Corporate receptionist 23000 Manchester My client is looking for an experienced professional corporate receptionist to join their team in Manchester Spinningfields. Duties: Below are the tasks to be undertaken by the receptionist Meet and greet staff and..."
"Marketing Manager","Competitive salary","","Marketing Manager Competitive salary - Manchester Due to growth, AlcumusISOQAR are recruiting for a Marketing Manager (Customer Value) to join the team in Manchester. Reporting to the Head of Marketing, the Marketing Manager opportunity holds responsibility..."
"Customer Service Representative","£20,000 per annum","","Centre for Health and Disability Assessments (CHDA) delivers the Health Assessment Advisory Service on behalf of the Department for Work and Pensions (DWP). With over 150 Assessment Centres across the UK, our highly trained doctors, nurses and physiotherapists..."
"Graduate Customer Relationship Officer, £19,000","£19,000 - £23,000 per annum","Middlesbrough","Graduate Customer Relationship Officer - Middlesborough - 19,000 ( 23K OTE) Sector: IT Services/Tech A business outsourcing and professional services company, our client is international and instantly recognisable. They're looking for a Graduate Customer..."
"Support Worker","£8.50 per hour","","Reference number: 43853 Title: Support Worker - Waking Nights Location: Peterborough Salary: £8.50 per hour Hours: 27 hours per week Closing date: Monday 16 December 2019 Interview date: To be confirmed Contract type: Permanent Are you looking..."
"Team Leader","£17,500 per annum, pro-rata","","Sense has a great opportunity for a passionate and dedicated individual to join our team as a Team Leader in Louth. This is a permanent role working 35 hours per week. About the role. . As a Team Leader you will supervise other team members to ensure..."
"Marketing Assistant","£23,000 - £26,000 per annum, pro-rata","Newport, Gwent","Marketing Assistant - Part Time Are you an experienced marketer looking for a part-time marketing position that is flexible around home life? Do you consider yourself to be an organised person, thriving off getting creative? My client based in Newport..."
"Support Worker","£8.50 per hour","Peterborough","Support Worker Reference number: 43854 Title: Support Worker Location: Peterborough Salary: 8.50 per hour Hours: 37.5 hour per week Closing date: Monday 16 December 2019 Interview date: To be confirmed Contract type: Permanent Are you looking for a rewarding..."
"Support Worker","£8.50 per hour","Louth, Lincolnshire","Weekend Support Worker Reference number: 43871 Title: Weekend Support Worker Location: Louth, Lincolnshire Salary: 8.50 per hour Hours: Up to 15 hours per week Closing date: Wednesday 18 December 2019 Interview date: To be confirmed Contract type: Permanent..."
"Lead Engineer- Python - Scaling Reltime ML Analytics - 120k","£80,000 - £120,000 per annum","London","Company This High Growth VC backed Real Time Machine Learning Analytics start-up are looking for a Lead Python Engineer who is experienced in Python, Machine learning and Big Data to lead their data focused engineering team to build a best in class FinTech..."
